miRNA_ID	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped
hsa-mir-134	44.063757	20.71835	203.159248	74.864014	10.478354	9.881632	23.210675	16.287987	4.63893	16.220057	7.76871	24.809774	25.976045	20.296987	15.852075	61.492574	2.871907	6.519655	29.065911	10.002761	5.956896	8.891974	53.270466	40.102242	6.967902	7.16603	26.385659	28.430453	20.073388	9.619759	13.522784	9.925276	8.39324	9.969086	1.826149	11.243465	66.742154	13.413029	4.058536	31.174682	2.465587	13.798303	11.728109	4.97017	9.78776	19.662628	15.786151	110.69093	15.389203	29.60333	39.392968	12.977235	52.770886	9.186041	10.301355	1.50181	16.942633	16.173499	23.679129	7.557697	3.015777	19.927369	15.427808	139.889748	13.334823	3986.786382
hsa-mir-1343	1.112019	0.353154	0.4047	1.668943	0.628701	0.235277	0.32237	0.359294	1.374498	1.207877	0.149398	0.783467	0.402729	0.223044	0.640488	0.36066	0.391624	0.528621	0.93761	0.500138	0.59569	0	0.619424	0.437479	0.435494	0.939807	0.583108	0.98036	0.802936	0.450926	1.545461	1.751519	0.137594	1.395672	1.162095	0.84326	4.602907	1.083881	1.671162	1.149886	0.770496	0	0.146601	0.268658	0.858575	0.550004	0	0.708649	1.338192	0.160888	0.506662	0.219953	0.388975	0.540355	0.183953	0.625754	0.403396	0.581781	1.340328	0.75577	1.159914	0.756736	0.964238	0.980994	0.380995	0.214159
hsa-mir-135a-1	1.668029	5.885895	0	0.11921	1.257402	0.705831	4.352001	0	0.515437	0	3.43616	5.745421	3.624564	10.483059	0.80061	0.721321	0.261082	1.057241	0.703208	0.250069	0	0.485017	1.858272	0	1.306482	0.469904	3.06132	0.163393	0.802936	3.156484	1.159096	0.43788	0.963159	0	0.166014	5.902819	16.877326	1.083881	2.387374	6.26049	0	0.170349	1.02621	0.402987	0	2.062513	3.983421	1.275568	0	1.126214	0.506662	0	0.129658	0	0.919764	0	0.605094	0.349068	12.956505	0.604616	0.927932	0	0.321413	0.196199	0	0
hsa-mir-135a-2	1.529026	6.945356	0	0	1.886104	1.176385	3.707261	0	1.030873	0.517661	4.930143	5.22311	3.825929	12.044366	0.160122	0.901651	0.391624	0.352414	0.703208	0.250069	0.992816	0.323345	2.013128	0	0.870988	0.58738	2.332434	0	0.53529	3.757719	1.352278	0.58384	1.513535	0	0	12.367812	17.260902	0.541941	1.909899	8.176966	0.308198	0.170349	1.905818	0	0.34343	1.925013	5.01616	0.992108	0	0.804438	0.253331	0.219953	0.259316	0.540355	0.551858	0	0.403396	0.116356	12.733117	0.302308	0.695949	0.252245	0	1.373392	0	0
hsa-mir-135b	0.834014	0.117718	6.070495	0.596051	3.981774	0.235277	0.161185	0	1.202685	0.690215	0.149398	0	0	0	0	0.18033	0	0.528621	0	0.750207	0	0	0.154856	0	0	0	0.583108	0.163393	0.267645	0	0	0	0	0.199382	0.498041	0	0.767151	0.135485	0	1.533181	0	0.340699	0.146601	0.268658	0	0.275002	0	0	2.230319	0	0.633327	0.439906	0.129658	0	0.367906	0	0	0.349068	0	0	0	0	0	1.56959	3.04796	1.284955
hsa-mir-136	17.097294	4.355562	22.258483	14.662856	1.047835	2.35277	3.868446	7.425406	1.718122	7.592367	2.689169	2.089244	1.409553	4.237833	3.682805	5.229574	0.522165	1.585862	1.172013	2.250621	3.375574	1.778395	3.09712	10.062017	1.306482	1.99709	10.058621	9.313424	4.282323	1.803705	1.352278	2.189399	1.100753	1.993817	1.162095	0.562173	14.192297	2.574218	1.193687	5.877194	1.078694	2.384892	2.932027	1.20896	2.575726	2.475016	2.803148	14.031245	2.899415	6.274619	12.286553	1.539672	10.242998	2.161421	2.207433	0.625754	2.01698	3.257971	7.371804	1.965001	0.463966	3.783678	0.964238	8.632747	4.063946	453.37488
hsa-mir-137	1.112019	0	21.044384	0	0	0	0	0	0	0	0.149398	0	0	0	0	0.18033	0	0	0	0	0	0.161672	0	0.291653	0	0	0.145777	0.163393	0	0	0	0	0	0	44.159609	0	0	0	0	0	0	0	0	0.134329	0	0.275002	0	8.645514	0	0.160888	0	0	0.259316	0	0	0	0	0	0	0	0	0	0	0.196199	0	0
hsa-mir-138-1	0	0	55.848558	0.715261	0.209567	0	0	0.119765	0	0.172554	0	0.522311	0	0	0	0	0	0	0	0	0	0	0.154856	0	0.217747	0	0	0	0	0	0.193183	0.29192	0	0	0	0.562173	0	0	0	0.127765	0.154099	0.511048	0	1.880605	0	0	0	0.566919	0	0	0.379996	0	2.463506	0	0	0.125151	0	4.18882	0	0	0	0	0	0	0	5.139819
hsa-mir-138-2	0.278005	0	25.091381	1.311312	0.209567	0	0	0.359294	0	0	0.149398	0.261156	0	0	0	0	0	0	0	0	0	0	0.154856	0.145826	0.217747	0	0	0	0.267645	0	0	0.14596	0	0	0.332027	0.562173	0.383576	0	0	0	0	0.511048	0	0.402987	0	0	0.147534	1.700757	0	0	0	0	2.85248	0	0	0.250302	0	2.559834	0	0	0.231983	0	0	0	0	3.854864
hsa-mir-139	101.471743	120.660845	262.245403	211.478918	190.286902	124.696787	74.628766	128.148133	90.373224	2912.535585	87.248589	192.993929	79.941781	70.481846	273.32821	163.559428	20.625512	465.186188	25.081068	58.766219	79.822405	80.512786	62.40697	625.886624	133.914369	128.048735	60.205951	144.439771	54.867261	85.826291	97.750408	167.416049	54.900042	111.055617	28.554334	120.586167	35.097167	134.536749	43.211467	153.701406	36.059215	54.852514	57.02793	80.866013	207.260114	38.912753	165.680819	163.414394	890.789517	196.926499	167.325116	32.113158	179.706262	225.328185	150.657318	67.581469	37.717529	130.318841	50.48569	198.616276	81.425989	30.017175	91.924024	159.31343	357.754263	65.532694
hsa-mir-140	1857.627916	1351.283743	998.394152	1592.648449	1313.566408	945.578087	964.693663	545.048739	1140.833097	1613.032919	790.765036	1200.531922	820.158377	1156.259145	1047.357835	1026.799762	519.162406	1531.237869	1730.124894	782.71603	914.780647	818.869998	900.642529	3072.998329	1787.702393	1713.033623	905.275922	2140.453626	1809.549045	1800.247799	1534.835946	1954.111655	625.777923	828.231654	3723.020305	1506.343282	1062.312623	1610.105458	1237.85334	1575.599116	2311.334028	1418.158942	698.702094	775.077901	1103.612886	1018.744122	1124.947681	1654.411296	891.904677	1656.016708	562.268123	646.662222	1155.513857	1923.124724	1242.233054	912.349838	875.167687	1094.212843	772.475738	1657.100638	665.094905	738.069371	1835.266363	2014.569331	2171.925244	1148.535419
hsa-mir-141	1702.918258	1153.753111	47.349865	1292.238712	3007.287485	2983.782359	2063.815816	446.721995	2458.632773	10.180674	2679.756744	1621.253463	2177.759109	727.791973	2184.544098	3041.988969	1960.598484	304.309298	2377.544615	915.002541	1373.461632	1878.469992	2023.658281	1874.305867	2306.811103	1776.118183	76.241434	16.992914	1666.09123	752.746178	2527.987816	2365.864641	2.751882	3591.861637	91.14145	725.765694	1753.132278	1467.304115	1893.426199	1810.431355	129.443335	3231.869243	1833.543242	4800.781472	1813.311354	1230.082996	2043.200056	6.236109	1386.589492	2050.674143	812.052475	1067.652526	5.186328	1793.979793	3301.584312	2214.419483	1292.884276	2362.727136	2016.523564	3.627695	823.307227	526.435672	1365.682447	698.860144	65.023139	6.210615
hsa-mir-142	495.821519	437.675142	5796.109055	530.247029	252.947456	163.517485	825.5908	383.72581	364.413705	268.666266	253.528862	1048.539409	927.485756	541.327343	1178.978098	1314.24599	109.915702	151.890339	95.870625	865.989013	190.819232	269.66933	1595.481426	1355.018292	842.027424	452.752131	332.226059	682.821046	752.885884	368.256417	721.923465	387.961516	138.419655	293.68927	139.783425	581.56825	1584.550802	597.760458	262.133649	620.810583	234.230797	1239.462398	253.620357	555.450107	376.227763	322.852099	436.405933	819.339647	435.13529	922.529856	393.296355	474.438916	1086.27638	146.436302	685.224067	178.965743	1122.651151	903.970606	362.55874	264.217086	288.354715	572.092048	173.241431	2739.720115	224.914022	2690.90948
hsa-mir-143	38465.435875	28397.088366	31679.892253	21976.045184	19766.575812	33200.401853	22589.789044	9137.201379	17051.503116	36769.144068	30862.246131	36494.655713	15414.064196	24785.521066	29141.398752	15651.933996	8922.100314	22659.324948	19566.045953	18777.432571	8879.94472	24654.858017	15064.54708	93488.67921	61486.510468	23448.190307	72162.15314	66099.985654	39352.138083	51185.687962	21087.815219	17290.26834	5084.23923	17926.410202	14018.849845	64186.133322	59267.800209	31016.478652	34013.153952	34779.446787	13217.551407	35447.840966	15995.088268	8116.959658	22144.034618	19943.954636	32331.217645	44021.683517	32870.891501	33441.626819	19557.278769	20421.988891	18958.751319	30482.256351	41508.758543	18219.463563	16613.462092	16184.203821	21550.464692	30322.387168	17086.234762	29077.057621	11178.411354	56972.993823	51782.040406	58175.042966
hsa-mir-144	117.318016	160.449494	254.556109	1075.752964	409.913193	51.290376	312.376996	84.553815	685.187107	142.874546	571.896572	276.302539	1127.642257	667.124055	1812.260508	478.596166	63.965195	61.848618	216.11911	476.381481	47.85373	60.465425	2960.537115	313.089138	612.086654	51.454446	191.40536	532.499112	746.194755	231.024536	496.672526	492.030952	129.613633	68.387929	132.146801	281.367723	93.976022	141.311006	282.903801	268.178928	71.810231	2392.727988	60.399761	270.672785	318.016347	98.175638	340.951356	1674.39519	63.787131	1131.522929	98.92575	727.385023	847.057005	60.249623	155.072185	101.622506	1147.460007	2381.460469	136.043298	112.005069	446.567036	183.129994	55.604392	437.915733	46.86238	106.222929
hsa-mir-145	765.208147	1253.931042	1773.79877	461.820366	341.803895	315.741675	364.601013	182.401501	602.717245	619.985802	301.784503	485.48811	84.371805	323.636578	382.371275	422.874156	168.267624	632.75894	201.351752	222.061289	217.823827	437.161792	120.632828	707.98685	896.899654	414.572463	859.939237	865.821661	464.632028	640.164931	374.387925	315.419427	56.826359	365.067924	312.935578	786.761494	972.172357	561.856894	551.722096	566.254888	269.365416	468.460912	245.557282	226.747226	391.853836	241.451569	285.183458	348.22998	482.864122	393.852997	982.164232	444.525289	576.590005	1112.321507	494.648998	308.12144	200.689525	360.703936	590.191122	598.116138	209.71252	398.547371	452.227631	970.203091	743.19416	2661.141361
hsa-mir-1468	25.298435	19.776607	2.428198	12.517072	50.505664	22.116034	20.148155	11.377638	104.633638	38.824605	105.773974	47.530304	33.426538	56.207042	15.051466	19.114994	17.100899	28.721723	56.256601	29.258075	21.841952	74.36924	44.133962	17.353334	18.072996	24.434988	17.055923	56.697512	68.784811	34.871628	19.89781	25.980869	186.715181	7.775887	14.941221	41.038649	57.53634	7.587168	72.576165	30.024797	70.11514	14.65005	29.173671	5.910473	15.454358	33.000215	28.031483	16.44065	11.820692	63.228851	13.173211	52.788753	18.930097	67.814598	85.721991	55.066383	56.475444	9.308489	52.942958	18.591935	35.725363	22.44982	34.391156	19.031284	23.621687	4.283183
hsa-mir-1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-146a	16.680287	10.476893	91.866831	35.047803	7.12528	7.293586	25.467268	6.347524	6.700676	8.62769	4.33255	19.064353	11.276423	6.691314	18.253905	18.754334	2.219201	8.810344	3.75044	22.506212	3.772701	6.143546	6.039384	55.26818	27.218368	13.157301	5.831085	24.509011	14.98813	14.129022	21.056906	8.319716	4.815793	9.370941	4.482366	14.054332	33.371077	29.671247	10.265708	17.759348	7.396762	8.85817	5.131048	13.970208	4.979738	3.987526	23.015323	15.306812	9.367341	20.432733	43.57293	6.818547	11.53958	9.456219	42.309137	8.885712	24.607158	16.75528	11.1694	6.046158	5.103623	10.342052	3.856952	53.169876	15.1128	373.065206
hsa-mir-146b	131.079252	54.974258	836.109573	98.467636	63.498823	49.408161	80.59262	31.258563	65.97589	36.236298	68.573805	56.409592	58.597124	72.935328	178.536002	91.427376	66.184395	25.726206	58.366224	127.285131	48.052294	34.597864	48.779642	209.260789	67.501552	78.708855	84.113399	150.648721	96.352264	43.739844	93.693573	151.068536	43.892515	114.644487	35.36089	41.038649	134.059672	32.65192	102.179601	72.826103	28.662453	90.285194	64.064795	49.836031	269.420977	74.112982	81.586369	80.360765	49.513088	86.074899	48.639549	49.929362	92.575953	48.90216	126.375553	62.825736	117.791641	42.120911	55.847002	190.151656	71.914692	57.259654	94.173913	607.431501	18.795751	992.199254
hsa-mir-1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-147a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-147b	0	0	0	0.11921	0	0	0	0	0	0	0	0.261156	0	0	0.160122	0	0	0	0	0	0	0	0.154856	0	0	0	0	0	0	0	0	0	0	0	0.166014	0	0.958939	0	0.238737	0	0	0.511048	0.146601	0	0.171715	0	0	0	0	0	0	0	0.129658	0	0	0.125151	0.201698	0	0	0	0	0.252245	0	0.588596	0	1.070796
hsa-mir-148a	25978.71234	8575.866536	9924.85536	16510.137696	26397.697109	17841.522148	25926.645887	30390.030219	16553.934946	33639.363249	12150.710583	25559.812971	24471.246532	27132.834191	20651.891785	29538.075355	24342.020068	15119.608356	21907.492582	26723.375652	33038.731737	19853.030215	21204.742558	19039.523603	23025.214878	26350.315023	22564.549016	29752.142006	21770.258733	24022.343094	11854.844895	14739.326497	22856.304713	9607.40743	41939.177941	26398.81359	55610.98223	13704.728824	18129.717003	23899.482602	42588.244141	22499.751716	28940.42839	11279.734211	13742.530394	21114.499744	11875.611621	22395.992336	14425.25899	19678.974412	24763.483858	33590.143284	19867.26631	18718.450001	12729.163762	37097.34585	28038.041052	18500.039445	38484.392773	2381.883777	28873.516672	24435.74647	16549.217119	13508.483931	11340.695849	7878.700268
hsa-mir-148b	96.884665	79.459581	98.342026	234.6057	65.804061	59.52507	100.740775	230.427109	73.535627	135.627287	63.344866	107.073763	105.515097	89.217527	153.396852	119.378546	80.935552	76.649997	148.845591	223.561703	145.546823	71.944156	119.084268	110.682187	95.808654	106.903072	91.693809	105.878927	110.002168	114.535261	85.966268	102.609837	64.118846	107.067982	92.635572	120.30508	167.430749	252.544309	106.954348	122.015663	124.66626	170.519772	79.311337	102.358641	82.938389	80.575524	80.701165	130.249634	73.600536	121.470185	229.011211	71.704723	152.218724	53.765358	149.553602	88.857117	79.872414	113.563562	87.344712	77.995433	69.594863	75.421306	76.174803	110.656126	72.008047	76.668969
hsa-mir-149	6.116105	4.47328	12.95039	2.026574	2.095671	1.176385	1.934223	2.155763	1.718122	2.933415	1.045788	2.611555	5.638211	3.791745	3.682805	27.04952	2.741365	1.585862	16.87698	4.751311	9.531033	2.910101	2.167984	2.624874	3.701698	5.051464	39.651377	6.862523	2.676452	9.469451	11.397775	1.16768	0.825565	7.177742	13.281086	2.52978	5.945422	11.787208	3.819798	3.194127	23.42308	5.280832	3.665034	10.611985	8.75747	6.875045	1.475341	9.495893	0.446064	2.73509	4.686623	2.859391	2.593164	3.51231	2.02348	2.127565	1.613584	4.7706	5.137924	17.080395	4.87164	2.522452	2.892714	24.721049	1.904975	7.709729
hsa-mir-150	212.534652	86.404937	596.527353	204.683936	56.583109	37.644313	147.484495	66.589123	39.688621	63.327244	49.450827	226.682991	130.887048	74.719679	218.406373	251.740862	27.022031	64.491722	16.173773	80.272155	22.239078	54.483552	106.23122	1605.547934	172.673325	220.972174	86.445833	241.658848	176.913462	39.38089	443.93367	67.433492	24.629342	129.199353	20.253655	97.537063	620.62532	200.653499	30.08091	243.3925	30.511643	136.449887	65.530809	43.522572	156.089017	62.287905	302.592484	231.302941	58.657397	293.137321	38.126313	48.829596	315.06942	133.467774	205.659197	30.661963	310.614943	224.450933	46.464706	85.099668	35.49338	109.978895	245.880695	896.432341	93.470762	67.031808
hsa-mir-151a	2246.556598	892.537097	2938.524497	1908.555514	979.097361	2255.129626	1675.681757	1219.682787	1047.023628	2121.548967	2020.01399	2066.784779	1694.886585	1434.394784	3608.188574	2084.976967	1134.664227	1301.992706	3517.678403	5245.197675	2139.319881	770.206648	1935.080646	3322.507186	2642.35914	2689.845759	2201.088751	1676.252958	1387.4726	1676.393396	2348.907523	2080.950841	1808.399129	1786.260805	2329.668418	2349.041017	2615.98559	2367.738386	2143.145504	2600.14739	1740.242361	3252.822221	1299.767681	1377.81179	1681.262449	1724.67371	2216.995252	3148.951441	1109.80687	1939.983432	1241.955158	891.030157	1185.594559	1008.032923	2881.06828	1116.345755	1661.588247	2287.910158	2490.776309	1717.562213	1368.003019	2433.913657	1116.909039	2229.79942	1636.119338	1696.996954
hsa-mir-151b	1.390024	1.059461	0.809399	1.192102	0.628701	1.646939	1.289482	2.155763	1.889934	1.552984	1.195186	1.044622	1.006823	1.115219	1.921464	1.081981	0.913788	0.881034	4.68805	6.251725	1.787069	0.970034	0.77428	3.499832	2.177469	2.936898	1.166217	1.797327	2.141161	0.751544	1.931826	1.897479	1.375941	1.19629	4.64838	2.248693	3.260393	3.251643	1.432424	2.938597	3.081984	3.406988	1.319412	2.014934	1.545436	1.51251	1.622875	1.275568	1.11516	0.804438	2.026648	0.879813	0.907607	0.270178	3.127197	0.500603	1.613584	3.257971	1.340328	1.360385	0.927932	2.522452	2.249889	1.373392	0.634992	0.214159
hsa-mir-152	183.066145	51.678157	453.66836	210.286816	68.528433	71.759472	127.65871	139.885064	51.371852	374.614299	48.703836	89.054032	93.63458	94.124491	232.176863	137.411559	74.016868	188.365165	152.830434	208.057424	90.544818	48.986695	93.068459	647.468921	144.801716	160.00218	137.613602	353.093152	146.401912	175.56061	140.830133	211.641911	66.182757	221.313706	120.525851	162.749162	246.639111	93.620235	100.269702	149.868453	129.443335	114.98586	86.055	89.463064	151.967855	140.113411	66.685423	184.532126	78.953302	147.212211	200.891472	106.897224	213.287735	53.225003	175.490942	123.649059	70.796003	119.381367	154.584503	131.503927	62.867359	76.934777	98.030865	318.626859	202.308321	403.475803
hsa-mir-153-1	0.139002	0.117718	2.023498	0.11921	0	0	0.161185	0.119765	0	0.345108	0	0	0.201365	0	0.160122	0.36066	0.130541	0	0.234403	0.250069	0	0.161672	0.154856	0	0	0	0.145777	0.163393	0.53529	0.300617	0	0	0.137594	0	0.996081	0	0	0.135485	0	0	0.154099	0.340699	0	0.134329	0.171715	0	0.147534	0.566919	0	0.321775	0	0.219953	0.129658	0	0	0	0	0.232712	0.446776	0	0	0	0	0.588596	0.253997	0.642477
hsa-mir-153-2	3.058053	1.883486	95.104429	1.788153	1.886104	1.882216	6.930965	0.958117	3.09262	1.552984	1.493983	7.312355	4.631388	3.568701	4.643537	3.786933	4.177319	1.762069	2.109623	3.250897	0.59569	2.748428	3.8714	9.624538	2.177469	1.644663	7.58041	3.267868	1.605871	4.208645	3.863652	2.189399	1.788723	0.598145	44.325623	6.183906	2.109666	2.845188	2.387374	8.815791	1.849191	2.89594	2.345622	1.746276	3.434302	1.375009	7.671774	12.897407	1.784255	4.343967	2.406644	3.299297	1.685557	0.810533	4.966725	1.37666	1.411886	4.072464	7.595192	1.965001	1.391897	3.531432	1.285651	5.493567	5.587926	11.564593
hsa-mir-1537	0	0	0.809399	0	0	0	0.161185	0.119765	0	0	0	0	0	0	0.320244	0	0.261082	0	0	0	0.198563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191788	0.135485	0	0	0.154099	0	0.146601	0.134329	0	0	0.295068	0.14173	0	0	0.126665	0	0.129658	0	0	0.125151	0	0	0	0.151154	0	0	0	0.392398	0.126998	0.428318
hsa-mir-1538	0	0	0.4047	0.11921	0.209567	0	0	0	0	0	0	0.261156	0	0	0	0	0	0	0	0	0.198563	0	0	0.145826	0	0.117476	0	0	0	0	0	0	0	0	0	0	0.383576	0	0	0.127765	0	0	0	0.134329	0	0	0	0.14173	0	0	0	0	0.259316	0	0.183953	0	0	0.116356	0	0	0	0	0	0.196199	0	0.214159
hsa-mir-1539	0	0	0.4047	0	0	0	0	0	0	0	0	0.261156	0	0	0	0	0	0	0	0	0	0.161672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219953	0	0	0	0	0	0	0	0	0	0	0	0	0.126998	0.214159
hsa-mir-154	0.973017	0.824025	4.856396	1.549733	0.419134	0	0.644741	0.718588	0	0.345108	0.597593	0	0.402729	0.892175	0.480366	1.442641	0	0	0.93761	0.250069	0	0	0.77428	1.749916	0.217747	0.117476	1.02044	0.49018	0.802936	0	0.386365	0.58384	0	0.199382	0	0	2.685029	0.27097	0	0.766591	0	0.340699	0.146601	0.134329	0.515145	0.550004	0.590136	1.984216	0.892128	0.482663	0.886658	0	2.074531	0.270178	0.183953	0.125151	0.605094	0.465424	0.446776	0	0	0.252245	0.321413	1.56959	0.888988	116.716726
hsa-mir-155	31.41454	10.830047	452.858961	29.325712	16.555799	17.881049	58.187872	7.54517	22.163776	20.016241	11.055472	72.078923	52.757548	26.542214	47.396104	100.984873	7.832473	7.576896	14.767358	29.008006	7.743965	14.388831	18.273009	123.223252	78.824393	37.00491	11.953724	36.763516	23.28513	42.837991	43.46609	13.720234	9.906775	9.370941	10.126828	42.162995	127.730675	54.058573	24.828688	52.128158	9.554151	38.158271	10.848501	45.537506	28.848135	24.61266	53.997489	55.983249	19.180746	70.468796	8.866585	8.798125	43.046522	14.859772	25.753388	18.272027	84.30977	38.513872	23.902517	12.545777	11.367161	26.485743	28.927141	151.857875	37.972497	554.886308
hsa-mir-1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-15a	90.629557	49.441517	132.7415	123.14415	167.653658	107.992123	96.872329	56.409131	97.245713	71.264719	171.658611	83.569766	147.801682	137.841079	207.998445	119.558876	57.829758	42.289653	149.079994	85.523605	125.690504	48.66335	185.672351	145.97216	153.511594	57.91562	74.92944	111.76109	122.313846	99.354078	82.682163	75.753208	67.558698	62.605859	93.631653	110.748135	181.814834	153.233698	143.958643	74.870344	121.276077	274.092221	53.656099	66.895805	101.655333	81.125527	144.435905	193.4611	53.304631	129.514568	68.399366	67.30566	93.613219	49.172338	146.978263	142.922293	103.874478	101.462526	96.280232	68.623888	65.651154	108.717669	28.605728	175.401732	89.533815	217.157359
hsa-mir-15b	282.035846	190.585276	784.712712	104.189726	215.43495	238.10028	227.432374	43.714083	196.896797	84.0337	489.27933	191.688151	420.650835	315.383957	471.879459	600.499334	183.279864	53.038274	414.189228	317.337585	173.147108	129.49948	617.56575	188.990928	260.207596	69.663211	167.352135	185.451516	400.12954	190.140558	112.239104	127.568986	326.64837	62.007714	258.483127	136.889192	1251.415394	162.446688	482.249517	132.620166	70.577437	404.920577	315.632734	556.39041	318.703208	306.626993	326.197944	523.407943	73.377504	266.590856	168.211775	234.250091	169.981897	185.882244	238.034884	316.506549	588.554808	218.749484	266.278508	215.847825	254.949181	341.792207	129.85072	190.901437	100.201673	619.562366
hsa-mir-16-1	135.666331	103.59175	287.741484	143.171466	252.947456	168.223024	173.274133	102.997564	221.98138	88.865207	201.837061	166.09491	342.118606	242.448629	372.763957	264.363971	136.546109	79.997928	193.850872	179.549556	173.147108	100.721818	452.953816	142.618154	266.30451	69.310783	132.219849	176.138092	213.848497	151.962138	119.966409	105.966915	114.615877	76.163816	147.088022	147.289397	362.287154	173.82744	247.331931	111.666691	154.099208	522.461679	125.197564	135.537886	188.886599	116.463257	128.354686	310.671598	73.377504	210.119287	121.725539	236.669575	248.16579	139.411683	178.066281	191.105378	268.661756	287.399588	188.316092	136.189699	133.854119	242.155364	87.74566	243.875115	131.951253	286.544917
hsa-mir-16-2	141.921438	108.418183	294.621379	142.098574	244.983907	161.164715	172.790577	97.488392	233.836422	96.112466	205.572018	184.898108	346.749994	245.571242	394.540545	264.544301	136.285027	69.073101	193.61647	200.305284	154.68073	107.673725	456.050936	131.681179	254.110681	68.2535	137.613602	182.673829	224.019014	145.348553	124.40961	117.78967	112.139184	74.369381	150.076267	152.348957	365.547546	180.195242	275.741679	105.533966	143.620462	534.556488	130.328611	141.179701	186.826018	128.425835	127.912084	315.06522	65.571387	219.611659	130.338792	245.687654	256.593573	130.765997	178.618139	193.232942	264.627796	292.170188	190.996748	127.271617	127.126616	245.939042	88.388485	249.957278	136.650191	310.959058
hsa-mir-17	270.776652	198.707811	1134.37325	298.740794	337.402986	207.514275	347.193007	165.75422	259.26463	230.186769	425.785065	305.813113	392.057049	413.523236	427.685794	302.233298	204.42754	229.773784	346.915708	394.608912	438.427538	182.851326	488.725554	371.565498	293.087384	265.965445	182.075624	343.452941	276.477468	280.325803	228.921409	342.859895	235.1483	264.978302	210.173179	294.016621	784.220314	306.060941	425.191282	257.957721	490.035483	678.50175	190.141967	204.045638	352.53108	273.626779	414.570883	389.331605	181.101925	407.367561	175.811704	251.186482	312.735573	170.752294	296.531865	368.56931	291.65533	316.954039	252.205063	203.150895	278.611434	285.793779	218.88203	391.612815	219.580093	417.610305
